heldout_site,mapping,missing_indicators,domain,conformal_method,alpha,metric,n_repeats,mean,sd,min,q25,median,q75,max
Cleveland,isotonic,False,ood_test,label_conditional,0.2,class1_coverage,10,0.6776978417266186,0.21611491632251612,0.20863309352517986,0.5881294964028776,0.7733812949640287,0.7967625899280576,0.8920863309352518
Cleveland,isotonic,False,ood_test,label_conditional,0.2,class0_avg_set_size,10,1.1975609756097563,0.11897451085114472,1.0304878048780488,1.0884146341463414,1.1981707317073171,1.3033536585365855,1.3658536585365855
Cleveland,isotonic,False,ood_test,label_conditional,0.2,class1_avg_set_size,10,1.2410071942446042,0.1691030111301174,1.1007194244604317,1.120503597122302,1.1762589928057554,1.29136690647482,1.6474820143884892
Cleveland,isotonic,False,ood_test,label_conditional,0.2,class0_singleton_accuracy,10,0.8313421406262883,0.2587666071886671,0.11627906976744186,0.8778237192416296,0.9118644067796611,0.9539989981632994,0.98
Cleveland,isotonic,False,ood_test,label_conditional,0.2,class1_singleton_accuracy,10,0.5795397622326555,0.26294446722665166,0.03508771929824561,0.516232423490488,0.7098420013166558,0.7429084001688476,0.7931034482758621
Cleveland,isotonic,False,ood_test,label_conditional,0.2,empty_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland,isotonic,False,ood_test,marginal,0.05,coverage,10,0.8881188118811881,0.11762897677387835,0.594059405940594,0.8671617161716172,0.9306930693069306,0.9537953795379538,1.0
Cleveland,isotonic,False,ood_test,marginal,0.05,avg_set_size,10,1.5811881188118813,0.24382989769360044,1.1815181518151816,1.438118811881188,1.6402640264026402,1.698844884488449,2.0
Cleveland,isotonic,False,ood_test,marginal,0.05,singleton_rate,10,0.41881188118811885,0.24382989769360044,0.0,0.30115511551155116,0.35973597359735976,0.5618811881188119,0.8184818481848185
Cleveland,isotonic,False,ood_test,marginal,0.05,singleton_accuracy,9,0.7467918909229663,0.1615516266242193,0.4557522123893805,0.616822429906542,0.7931034482758621,0.873015873015873,0.9298245614035088
