analysis_id,estimand,representation,horizon_day,domain,alpha,conformal_method,metric,n_repeats,mean,sd,min,q25,median,q75,max
AAA-J,landmark_still_registered,score_free,14,ood_test,0.05,label_conditional,singleton_accuracy,10,0.6507093843151328,0.21844410475448411,0.08333333333333333,0.6413352272727273,0.7229910714285714,0.764423076923077,0.8584070796460177
AAA-J,landmark_still_registered,score_free,14,ood_test,0.05,label_conditional,class0_coverage,10,0.9639830508474578,0.026291681453370463,0.9110169491525424,0.951271186440678,0.9682203389830508,0.9819915254237288,0.9957627118644068
AAA-J,landmark_still_registered,score_free,14,ood_test,0.05,label_conditional,class1_coverage,10,0.8902439024390244,0.0951601618757693,0.7195121951219512,0.8140243902439025,0.9146341463414633,0.9725609756097561,0.9878048780487805
AAA-J,landmark_still_registered,score_free,14,ood_test,0.05,label_conditional,class0_avg_set_size,10,1.7966101694915253,0.1282436097493352,1.5847457627118644,1.7468220338983051,1.7966101694915255,1.909957627118644,1.9576271186440677
AAA-J,landmark_still_registered,score_free,14,ood_test,0.05,label_conditional,class1_avg_set_size,10,1.8097560975609757,0.09397192375154399,1.6341463414634145,1.7530487804878048,1.8048780487804879,1.871951219512195,1.975609756097561
AAA-J,landmark_still_registered,score_free,14,ood_test,0.05,label_conditional,class0_singleton_accuracy,10,0.6961612981604313,0.3147195421081678,0.0,0.5785714285714285,0.783469387755102,0.9422899778924096,0.9787234042553191
AAA-J,landmark_still_registered,score_free,14,ood_test,0.05,label_conditional,class1_singleton_accuracy,10,0.48655929038281975,0.29274863596150563,0.1111111111111111,0.23452380952380952,0.4880952380952381,0.7875000000000001,0.8235294117647058
AAA-J,landmark_still_registered,score_free,14,ood_test,0.05,marginal,coverage,10,0.9713836477987421,0.02517687912106678,0.9245283018867925,0.9520440251572327,0.9779874213836478,0.9929245283018868,0.9968553459119497
AAA-J,landmark_still_registered,score_free,14,ood_test,0.05,marginal,avg_set_size,10,1.8465408805031447,0.12069355544044295,1.6603773584905661,1.7696540880503144,1.8569182389937107,1.9488993710691824,1.9968553459119496
AAA-J,landmark_still_registered,score_free,14,ood_test,0.05,marginal,singleton_rate,10,0.15345911949685537,0.12069355544044302,0.0031446540880503146,0.05110062893081761,0.14308176100628933,0.23034591194968554,0.33962264150943394
AAA-J,landmark_still_registered,score_free,14,ood_test,0.05,marginal,ambiguous_rate,10,0.8465408805031446,0.12069355544044302,0.660377358490566,0.7696540880503145,0.8569182389937107,0.9488993710691824,0.9968553459119497
AAA-J,landmark_still_registered,score_free,14,ood_test,0.05,marginal,empty_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAA-J,landmark_still_registered,score_free,14,ood_test,0.05,marginal,singleton_accuracy,10,0.7410523690711268,0.2656826831964727,0.0,0.7791666666666667,0.7918918918918919,0.8658163265306122,0.9032258064516129
AAA-J,landmark_still_registered,score_free,14,ood_test,0.05,marginal,class0_coverage,10,0.9995762711864407,0.0013399481610882928,0.9957627118644068,1.0,1.0,1.0,1.0
AAA-J,landmark_still_registered,score_free,14,ood_test,0.05,marginal,class1_coverage,10,0.8902439024390244,0.0951601618757693,0.7195121951219512,0.8140243902439025,0.9146341463414633,0.9725609756097561,0.9878048780487805
AAA-J,landmark_still_registered,score_free,14,ood_test,0.05,marginal,class0_avg_set_size,10,1.8322033898305086,0.13222934218204033,1.63135593220339,1.757415254237288,1.843220338983051,1.9427966101694913,2.0
AAA-J,landmark_still_registered,score_free,14,ood_test,0.05,marginal,class1_avg_set_size,10,1.8878048780487806,0.09837062414474257,1.7073170731707317,1.8109756097560976,1.9146341463414633,1.9725609756097562,1.9878048780487805
AAA-J,landmark_still_registered,score_free,14,ood_test,0.05,marginal,class0_singleton_accuracy,9,0.9986772486772486,0.003968253968253954,0.9880952380952381,1.0,1.0,1.0,1.0
AAA-J,landmark_still_registered,score_free,14,ood_test,0.05,marginal,class1_singleton_accuracy,10,0.011309523809523808,0.024853121063685302,0.0,0.0,0.0,0.0,0.07142857142857142
AAA-J,landmark_still_registered,score_free,14,ood_test,0.1,label_conditional,coverage,10,0.9172955974842767,0.0380562336935973,0.8679245283018868,0.8812893081761006,0.9261006289308176,0.9465408805031447,0.9654088050314465
AAA-J,landmark_still_registered,score_free,14,ood_test,0.1,label_conditional,avg_set_size,10,1.7544025157232706,0.13005044700914337,1.5754716981132075,1.6470125786163523,1.7610062893081762,1.8411949685534592,1.9528301886792452
AAA-J,landmark_still_registered,score_free,14,ood_test,0.1,label_conditional,singleton_rate,10,0.2455974842767296,0.1300504470091434,0.04716981132075472,0.15880503144654087,0.2389937106918239,0.3529874213836478,0.42452830188679247
