analysis_id,estimand,representation,horizon_day,domain,desired_selection_rate,metric,n_repeats,mean,sd,min,q25,median,q75,max
GGG-J,landmark_still_registered,score_free,14,ood_test,0.5,selection_rate,10,0.4875871687587169,0.03802075255435525,0.4351464435146444,0.4609483960948396,0.48884239888423986,0.504881450488145,0.5690376569037657
GGG-J,landmark_still_registered,score_free,14,ood_test,0.5,selective_risk,10,0.30513820005678394,0.04980294363139179,0.27873563218390807,0.28669425087108014,0.29172568460812087,0.2928789761025205,0.44607843137254904
GGG-J,landmark_still_registered,score_free,14,ood_test,0.5,selective_accuracy,10,0.6948617999432161,0.049802943631391774,0.553921568627451,0.7071210238974794,0.7082743153918791,0.7133057491289199,0.7212643678160919
GGG-J,landmark_still_registered,score_free,14,ood_test,0.7,selection_rate,10,0.693165969316597,0.041394382686289276,0.6178521617852162,0.6582984658298466,0.7105997210599722,0.7228033472803347,0.7433751743375174
GGG-J,landmark_still_registered,score_free,14,ood_test,0.7,selective_risk,10,0.3240062560872105,0.03608006063008065,0.30057803468208094,0.30996605979595615,0.3125580925439483,0.320908352088022,0.4238921001926782
GGG-J,landmark_still_registered,score_free,14,ood_test,0.7,selective_accuracy,10,0.6759937439127894,0.03608006063008065,0.5761078998073218,0.6790916479119781,0.6874419074560517,0.6900339402040438,0.699421965317919
GGG-J,landmark_still_registered,score_free,14,ood_test,0.8,selection_rate,10,0.799581589958159,0.047954839792603926,0.698744769874477,0.7740585774058577,0.801255230125523,0.8375174337517434,0.8549511854951185
GGG-J,landmark_still_registered,score_free,14,ood_test,0.8,selective_risk,10,0.33516166088373295,0.02590422237196992,0.30517241379310345,0.3235838106395904,0.3312798194713088,0.33922904766676687,0.40165289256198344
GGG-J,landmark_still_registered,score_free,14,ood_test,0.8,selective_accuracy,10,0.664838339116267,0.02590422237196992,0.5983471074380166,0.6607709523332331,0.6687201805286912,0.6764161893604096,0.6948275862068966
GGG-J,landmark_still_registered,score_free,14,ood_test,0.9,selection_rate,10,0.8941422594142259,0.024418982813506743,0.8298465829846583,0.8943514644351465,0.900278940027894,0.907252440725244,0.9149232914923291
GGG-J,landmark_still_registered,score_free,14,ood_test,0.9,selective_risk,10,0.34889559756300736,0.01841152329776687,0.3291731669266771,0.33803945017790965,0.3464528492444744,0.35111431817700656,0.3941267387944359
GGG-J,landmark_still_registered,score_free,14,ood_test,0.9,selective_accuracy,10,0.6511044024369926,0.01841152329776686,0.6058732612055642,0.6488856818229934,0.6535471507555257,0.6619605498220903,0.6708268330733229
