bin,left,right,n,weight,observed_rate,mean_probability,absolute_gap,heldout_site,repeat
0,0.0,0.1,2,2.0,0.0,0.09822102906544278,0.09822102906544278,Hungary,6
1,0.1,0.2,17,17.0,0.058823529411764705,0.15843024573728717,0.09960671632552247,Hungary,6
2,0.2,0.30000000000000004,43,43.0,0.046511627906976744,0.24557685955617173,0.19906523164919498,Hungary,6
3,0.30000000000000004,0.4,60,60.0,0.16666666666666666,0.3460701413753505,0.17940347470868387,Hungary,6
4,0.4,0.5,40,40.0,0.1,0.43479128598975336,0.3347912859897534,Hungary,6
5,0.5,0.6000000000000001,22,22.0,0.2727272727272727,0.5424747732823764,0.26974750055510366,Hungary,6
6,0.6000000000000001,0.7000000000000001,32,32.0,0.5625,0.652844049857365,0.090344049857365,Hungary,6
7,0.7000000000000001,0.8,26,26.0,0.6538461538461539,0.7584278668092512,0.10458171296309737,Hungary,6
8,0.8,0.9,44,44.0,0.9090909090909091,0.8511189020233069,0.057972007067602194,Hungary,6
9,0.9,1.0,8,8.0,1.0,0.9174153224433809,0.08258467755661913,Hungary,6
0,0.0,0.1,30,30.0,0.03333333333333333,0.07913269032265441,0.045799356989321076,Hungary,7
1,0.1,0.2,55,55.0,0.09090909090909091,0.14673754155101693,0.055828450641926014,Hungary,7
2,0.2,0.30000000000000004,45,45.0,0.13333333333333333,0.2520150044481723,0.11868167111483899,Hungary,7
3,0.30000000000000004,0.4,32,32.0,0.09375,0.34389408982507397,0.25014408982507397,Hungary,7
4,0.4,0.5,15,15.0,0.4666666666666667,0.4460684650648331,0.020598201601833566,Hungary,7
5,0.5,0.6000000000000001,20,20.0,0.45,0.5585657296680782,0.10856572966807815,Hungary,7
6,0.6000000000000001,0.7000000000000001,17,17.0,0.4117647058823529,0.6490924542478399,0.23732774836548698,Hungary,7
7,0.7000000000000001,0.8,14,14.0,0.5714285714285714,0.7510664962192223,0.17963792479065088,Hungary,7
8,0.8,0.9,43,43.0,0.8837209302325582,0.8504858664014587,0.03323506383109942,Hungary,7
9,0.9,1.0,23,23.0,0.9565217391304348,0.9338763902174297,0.02264534891300507,Hungary,7
0,0.0,0.1,8,8.0,0.0,0.08765970604947443,0.08765970604947443,Hungary,8
1,0.1,0.2,44,44.0,0.045454545454545456,0.14829636452806738,0.10284181907352193,Hungary,8
2,0.2,0.30000000000000004,36,36.0,0.1388888888888889,0.24784316769520076,0.10895427880631187,Hungary,8
3,0.30000000000000004,0.4,45,45.0,0.15555555555555556,0.34948239407615644,0.19392683852060089,Hungary,8
4,0.4,0.5,29,29.0,0.2413793103448276,0.44263947718173974,0.20126016683691214,Hungary,8
5,0.5,0.6000000000000001,23,23.0,0.13043478260869565,0.541299062319335,0.4108642797106393,Hungary,8
6,0.6000000000000001,0.7000000000000001,12,12.0,0.5,0.6775314126869986,0.17753141268699857,Hungary,8
7,0.7000000000000001,0.8,27,27.0,0.5555555555555556,0.7454477697742165,0.18989221421866087,Hungary,8
8,0.8,0.9,34,34.0,0.7941176470588235,0.8524533408918491,0.058335693833025615,Hungary,8
9,0.9,1.0,36,36.0,0.9444444444444444,0.9307603609181938,0.013684083526250612,Hungary,8
0,0.0,0.1,13,13.0,0.0,0.0879654600527795,0.0879654600527795,Hungary,9
1,0.1,0.2,43,43.0,0.046511627906976744,0.15026406312734952,0.10375243522037278,Hungary,9
2,0.2,0.30000000000000004,47,47.0,0.14893617021276595,0.2476647058860442,0.09872853567327824,Hungary,9
3,0.30000000000000004,0.4,39,39.0,0.10256410256410256,0.34522045196425555,0.242656349400153,Hungary,9
4,0.4,0.5,27,27.0,0.25925925925925924,0.44681310821672104,0.1875538489574618,Hungary,9
5,0.5,0.6000000000000001,26,26.0,0.3076923076923077,0.5599242442021558,0.2522319365098481,Hungary,9
6,0.6000000000000001,0.7000000000000001,20,20.0,0.5,0.644491492215007,0.144491492215007,Hungary,9
7,0.7000000000000001,0.8,35,35.0,0.7714285714285715,0.754523844805411,0.01690472662316045,Hungary,9
8,0.8,0.9,33,33.0,0.9090909090909091,0.8480044898222395,0.061086419268669534,Hungary,9
9,0.9,1.0,11,11.0,1.0,0.9221706095761969,0.0778293904238031,Hungary,9
0,0.0,0.1,8,8.0,0.5,0.04499733509725993,0.45500266490274005,Switzerland,0
1,0.1,0.2,11,11.0,1.0,0.13945006766795506,0.8605499323320449,Switzerland,0
2,0.2,0.30000000000000004,7,7.0,1.0,0.2526268892205146,0.7473731107794854,Switzerland,0
3,0.30000000000000004,0.4,7,7.0,0.8571428571428571,0.33164028988837907,0.525502567254478,Switzerland,0
4,0.4,0.5,12,12.0,0.9166666666666666,0.4470716259887022,0.4695950406779644,Switzerland,0
5,0.5,0.6000000000000001,11,11.0,1.0,0.550515965509837,0.44948403449016305,Switzerland,0
6,0.6000000000000001,0.7000000000000001,13,13.0,1.0,0.645982910262526,0.35401708973747403,Switzerland,0
7,0.7000000000000001,0.8,19,19.0,0.9473684210526315,0.7670460476046069,0.1803223734480246,Switzerland,0
8,0.8,0.9,15,15.0,1.0,0.8439078880939489,0.1560921119060511,Switzerland,0
9,0.9,1.0,20,20.0,0.95,0.9404157875302508,0.009584212469749165,Switzerland,0
