repeat,metric,clean,targeted,random_mean,random_sd,random_min,random_q05,random_median,random_q95,random_max,targeted_minus_random_median,targeted_severity_percentile_among_random
8,ece,0.09629280223657427,0.14795575270090994,0.09736906444719627,0.02665533036273238,0.04888011042055597,0.059171125342027196,0.09621162751174317,0.13555608845853703,0.13873435176590118,0.05174412518916677,1.0
8,hcep_090,0.006666666666666667,0.06666666666666667,0.020999999999999998,0.01901369158885926,0.0,0.0,0.013333333333333334,0.047666666666666684,0.06666666666666667,0.05333333333333333,1.0
8,aurc,0.11099933152570217,0.19211578844281252,0.13834334173459603,0.03159451926958635,0.10899462946825486,0.1098290518158258,0.11692711421510688,0.18681294613451066,0.1998819921914547,0.07518867422770564,0.95
8,excess_aurc,0.08800042388281938,0.14642027974772961,0.10760054187293219,0.026208789032826044,0.07823451822555633,0.0806347171386596,0.09700957506207167,0.1497318469131234,0.16467938274109864,0.04941070468565795,0.85
9,auroc,0.7635978835978835,0.6503703703703703,0.7566031746031746,0.015624826582692531,0.7238095238095238,0.7294391534391534,0.7572486772486773,0.7811216931216931,0.7843386243386242,-0.10687830687830702,1.0
9,average_precision,0.6036924485426537,0.47053126661043276,0.5956350272396669,0.0230609304810369,0.5474509138780059,0.564534019243402,0.5973490122506586,0.6233695731399866,0.6459655731926458,-0.12681774564022585,1.0
9,brier,0.17201466056092996,0.2073849786499715,0.17471071830115148,0.003535700809017526,0.16834387972625148,0.16973278429716096,0.1760282419938621,0.18035527092610892,0.18166377929092087,0.031356736656109385,1.0
9,log_loss,0.5201355649345419,0.6059392455860365,0.5260825831984677,0.008302804104716838,0.5104327666525341,0.5143276398449935,0.5275232350796879,0.5388559573093716,0.5420738483344759,0.07841601050634861,1.0
9,ece,0.08774589075389648,0.10228779311487764,0.0752361796333655,0.020080980541262474,0.040120279592342344,0.0463658793772376,0.07589200755722514,0.10029899386913856,0.11353580550514843,0.0263957855576525,0.95
9,hcep_090,0.0,0.0,0.003333333333333333,0.004588314677411236,0.0,0.0,0.0,0.013333333333333334,0.013333333333333334,0.0,0.6
9,aurc,0.14834698027881982,0.19959390317799472,0.15033202675777751,0.007964222181421208,0.13579638577638162,0.13846142550471535,0.1497642396479257,0.16342826451556272,0.16705888916314465,0.04982966353006901,1.0
9,excess_aurc,0.10703157168658642,0.1492690623113393,0.1111884534703111,0.008695052381688651,0.09232179133025434,0.09498683105858806,0.11185472315824123,0.12215356243485853,0.12987892205907156,0.03741433915309807,1.0
10,auroc,0.8325925925925926,0.7885714285714286,0.8129947089947092,0.021180990134063465,0.7627513227513227,0.7782328042328043,0.8156613756613756,0.8407724867724867,0.8433862433862434,-0.027089947089947053,0.85
10,average_precision,0.7072883119688597,0.6155653293789671,0.659195128577083,0.04540202291161318,0.5845577539651439,0.5884765482980091,0.6590968593031261,0.716472358123311,0.7330211217542116,-0.043531529924158985,0.75
10,brier,0.15086389202618197,0.19258649158681804,0.1620795563081857,0.013243200305070481,0.14957123591118057,0.15010183682168116,0.15728924982442014,0.1907810588556626,0.19513774192710642,0.0352972417623979,0.95
10,log_loss,0.46501924889597906,0.5638135521600819,0.4917434643210699,0.031096806288764288,0.46201705142795335,0.46437170184524923,0.48005555383577214,0.5612020112129293,0.5671404795530112,0.08375799832430975,0.95
10,ece,0.06504626143862893,0.13481667440784925,0.08795104812054075,0.02007315900548703,0.04737043653065952,0.06392978362190001,0.08465606121497113,0.12279673632222869,0.12619358589260354,0.05016061319287812,1.0
10,hcep_090,0.0,0.013333333333333334,0.003333333333333333,0.005514467945790074,0.0,0.0,0.0,0.013666666666666672,0.02,0.013333333333333334,0.95
10,aurc,0.0938696847559723,0.14536000136026567,0.10906979049298775,0.01667626599333349,0.08630697569003316,0.09075957230872864,0.10613926906060521,0.1391324323304124,0.14994119837777287,0.03922073229966046,0.95
10,excess_aurc,0.07384605224140707,0.09503516049361024,0.07944446811007624,0.009878208727699182,0.0584237803871874,0.06751645028284771,0.08069821758774093,0.09489116074067366,0.09961635751111744,0.014336942905869315,0.95
11,auroc,0.7591534391534391,0.6537566137566136,0.7488148148148149,0.018587756153032417,0.7164021164021164,0.7168042328042329,0.7550264550264549,0.7722857142857142,0.7805291005291005,-0.10126984126984129,1.0
11,average_precision,0.6022430538689008,0.5170827178572988,0.5901422123924298,0.014176439505368356,0.5553410482922103,0.5705419896566142,0.5927500945803648,0.608067516185895,0.6193609731813042,-0.075667376723066,1.0
11,brier,0.1714225535739046,0.211416570322492,0.17726429806803934,0.009770980823186693,0.16675854846536756,0.1680842706713743,0.17531619813081134,0.2022559559287311,0.20347119777638337,0.03610037219168066,1.0
11,log_loss,0.5181756100774213,0.6435085417667775,0.5365317510693797,0.03309596712911587,0.5002898116804634,0.5057344882789819,0.5296640695153603,0.6219207564465808,0.6266955571189552,0.11384447225141725,1.0
11,ece,0.05750552718300141,0.1385025148365856,0.09545308623130905,0.02344246698433684,0.06232790108888733,0.06896906412762936,0.09119966942392152,0.14815641680132435,0.14910506130403506,0.04730284541266408,0.9
11,hcep_090,0.02,0.06666666666666667,0.026000000000000006,0.021291625896895084,0.006666666666666667,0.006666666666666667,0.02,0.06766666666666668,0.08666666666666667,0.04666666666666666,0.95
11,aurc,0.1420699233091239,0.2241093731472999,0.15051137415993163,0.01623180530658448,0.12077221622998104,0.12717871491432714,0.14734759841481015,0.17503485502979593,0.18870492701713443,0.07676177473248974,1.0
11,excess_aurc,0.10488995620505082,0.17378453228064447,0.11340525302699075,0.014897345793115833,0.089346277417864,0.09028644922485185,0.10914892245384851,0.1399568726102377,0.14523033257100715,0.06463560982679596,1.0
12,auroc,0.6486772486772486,0.6393650793650794,0.6421587301587299,0.017803696744129134,0.6156613756613756,0.6172698412698412,0.643068783068783,0.667978835978836,0.6768253968253968,-0.0037037037037036535,0.55
