heldout_site,mapping,missing_indicators,domain,metric,n_repeats,mean,sd,min,q25,median,q75,max
Cleveland,isotonic,True,id_test,ece,10,0.0747906864551332,0.02558926407374222,0.03550172468227166,0.06199011687972843,0.07064602030409259,0.0930336827849394,0.12053440505767755
Cleveland,isotonic,True,id_test,calibration_intercept,10,0.32098711755409165,0.43914719399964974,-0.5036667595175874,0.1049822320189963,0.37465935934426314,0.5963677197897306,0.9464396582013194
Cleveland,isotonic,True,id_test,calibration_slope,10,0.6052731276746893,0.39023104182920637,0.19389644728357283,0.22970242478983985,0.6004366743868919,0.9340772131619993,1.1671681762742194
Cleveland,isotonic,True,id_test,hcep_090,10,0.03118279569892473,0.029751263038633884,0.0,0.002688172043010753,0.026881720430107527,0.051075268817204304,0.07526881720430108
Cleveland,isotonic,True,id_test,aurc,10,0.06401998173290202,0.01692893808948162,0.034626438175929725,0.055543184252101516,0.06488554582584392,0.06879604146261281,0.09683844867852962
Cleveland,isotonic,True,id_test,excess_aurc,10,0.05008217752339966,0.01777794990587976,0.02734048489649237,0.03873187631576933,0.04362587196704057,0.061155301717629555,0.08658145443803313
Cleveland,isotonic,True,ood_test,prevalence,10,0.45874587458745875,0.0,0.45874587458745875,0.45874587458745875,0.45874587458745875,0.45874587458745875,0.45874587458745875
Cleveland,isotonic,True,ood_test,auroc,10,0.7688410247411827,0.13274934659196785,0.43009738550622917,0.7382654851728373,0.8133883137392525,0.8491018161080891,0.8849140200035094
Cleveland,isotonic,True,ood_test,average_precision,10,0.727314415389492,0.126853522432588,0.42397681834968887,0.6783824782008115,0.7693291851003187,0.8038342671609124,0.8597598584006331
Cleveland,isotonic,True,ood_test,pr_skill,10,0.496196755262293,0.23436961766508635,-0.06423795146368459,0.4057920176514994,0.5738216041792473,0.6375718472546126,0.7408977871670233
Cleveland,isotonic,True,ood_test,brier,10,0.24110980135306873,0.09976689253862837,0.1517281382452774,0.1791022534264844,0.21738841950996746,0.2549350551264413,0.4980512698177432
Cleveland,isotonic,True,ood_test,log_loss,10,2.069216476833774,0.9708583589235532,0.6913498978695944,1.4953945762744478,1.907230261765459,2.6208647625281536,3.7197384098293225
Cleveland,isotonic,True,ood_test,ece,10,0.2257473112972291,0.10809794718689414,0.11015440993288367,0.15855218000872248,0.18367488019858091,0.2674364576822276,0.48277398101212654
Cleveland,isotonic,True,ood_test,calibration_intercept,10,0.6266237266484386,0.6576714285695047,-0.3651617075057947,0.19460227816323442,0.7436329516377436,1.0096750320044159,1.8262438130549832
Cleveland,isotonic,True,ood_test,calibration_slope,10,0.14228576249752706,0.11756603322019048,-0.0483973816450535,0.10303813913790476,0.12857274908482347,0.1493743140049179,0.42383713900078424
Cleveland,isotonic,True,ood_test,hcep_090,10,0.14323432343234324,0.11102066922219042,0.06930693069306931,0.08415841584158415,0.10231023102310231,0.15264026402640266,0.4389438943894389
Cleveland,isotonic,True,ood_test,aurc,10,0.1604962458836947,0.14418003053422415,0.05994912191660027,0.09467227502523089,0.11549724529123095,0.141301926858452,0.557208178870296
Cleveland,isotonic,True,ood_test,excess_aurc,10,0.09993201025758078,0.09238812037813317,0.016455805747900135,0.06712296414177951,0.07312309959580918,0.08737621325019149,0.34650276846836076
Cleveland,platt,False,id_test,prevalence,10,0.6129032258064517,1.1702778228589004e-16,0.6129032258064516,0.6129032258064516,0.6129032258064516,0.6129032258064516,0.6129032258064516
Cleveland,platt,False,id_test,auroc,10,0.8941520467836257,0.025484218080669356,0.8625730994152045,0.8730506822612085,0.8898635477582846,0.9142300194931774,0.9376218323586745
