target_definition,model,mapping,domain,weighting,metric,n_repeats,mean,sd,min,q25,median,q75,max
survey_year_adjusted_50000,logistic_regression,platt,ood_test,unweighted,log_loss,10,0.4744384755960449,0.002128354025542447,0.4718941560727452,0.47255190606962805,0.47406917760422373,0.4766343983262007,0.47721413189766393
survey_year_adjusted_50000,logistic_regression,platt,ood_test,unweighted,ece,10,0.09778897821719354,0.0019078939245341594,0.09483923004130279,0.09664913741309454,0.09799701557846102,0.0991623354085792,0.10070492645762547
survey_year_adjusted_50000,logistic_regression,platt,ood_test,unweighted,calibration_intercept,10,0.6744242212304654,0.013115954581151331,0.6553045571742625,0.6653245370375853,0.6762309845020702,0.6841347902965889,0.692996117198077
survey_year_adjusted_50000,logistic_regression,platt,ood_test,unweighted,calibration_slope,10,0.9352650521379706,0.032364481465023597,0.8839205047957941,0.922072530582353,0.9282168413705246,0.9529509952180266,0.9980407328424242
survey_year_adjusted_50000,logistic_regression,platt,ood_test,unweighted,hcep_080,10,0.06278933333333334,0.0030850002701242442,0.05726666666666667,0.06093666666666667,0.06292666666666666,0.06424666666666666,0.06785333333333333
survey_year_adjusted_50000,logistic_regression,platt,ood_test,unweighted,hcep_090,10,0.02528666666666667,0.002267165522447102,0.0208,0.02416,0.025566666666666668,0.02632666666666667,0.02864
survey_year_adjusted_50000,logistic_regression,platt,ood_test,unweighted,hcep_095,10,0.008990666666666668,0.0012249754847635137,0.0068,0.008453333333333334,0.00902,0.009640000000000001,0.011173333333333334
survey_year_adjusted_50000,logistic_regression,platt,ood_test,unweighted,aurc,10,0.10729481763641732,0.0007581511476631788,0.10594972414690387,0.10703688141060479,0.10749539021630489,0.10780397618427438,0.10834578756046026
survey_year_adjusted_50000,logistic_regression,platt,ood_test,unweighted,excess_aurc,10,0.08051167929530852,0.0005394163116546105,0.07958698262446151,0.08018388486314205,0.08054787640029602,0.08092183023601525,0.08132715735523928
survey_year_adjusted_50000,logistic_regression,raw,id_test,survey_weighted,prevalence,10,0.3844326127444545,0.0023012165427017802,0.38020031763050915,0.3830921364985438,0.38471791692260326,0.3858026797394271,0.3876497450597845
survey_year_adjusted_50000,logistic_regression,raw,id_test,survey_weighted,auroc,10,0.8831883832913151,0.0034729683708649354,0.8782459426129786,0.8807256590200008,0.8829060064893014,0.8851309487992649,0.8886304558915097
survey_year_adjusted_50000,logistic_regression,raw,id_test,survey_weighted,average_precision,10,0.8152001694907771,0.00567023781523546,0.8066751933490157,0.811481481815361,0.8147890004990426,0.8203080603232253,0.8219511823956966
survey_year_adjusted_50000,logistic_regression,raw,id_test,survey_weighted,pr_skill,10,0.6997819281696429,0.009405843036778015,0.6867960573407764,0.6934504529104673,0.699286266034604,0.7075621025941753,0.712141049787222
survey_year_adjusted_50000,logistic_regression,raw,id_test,survey_weighted,brier,10,0.13412451188269933,0.0021335462571393992,0.13088139493556458,0.1329755934490722,0.13428770645609844,0.1360397638208023,0.13655109174467203
survey_year_adjusted_50000,logistic_regression,raw,id_test,survey_weighted,log_loss,10,0.416439328034315,0.0059804341751341986,0.40745847890403675,0.41350611101387236,0.4172576837434143,0.4211630399821813,0.4247465229719108
survey_year_adjusted_50000,logistic_regression,raw,id_test,survey_weighted,ece,10,0.012336762358710405,0.0020064477217934793,0.009251313794935438,0.010818531682772504,0.012926852328929149,0.013566301478821628,0.01535218453879626
