repeat,target_definition,marginal_coverage,marginal_worst_class_coverage,marginal_avg_set_size,marginal_singleton_rate,marginal_ambiguous_rate,marginal_empty_rate,label_conditional_coverage,label_conditional_worst_class_coverage,label_conditional_avg_set_size,label_conditional_singleton_rate,label_conditional_ambiguous_rate,label_conditional_empty_rate,domain_family,condition_id,delta_coverage,delta_worst_class_coverage,delta_avg_set_size,delta_singleton_rate,delta_ambiguous_rate,delta_empty_rate,analysis_id,horizon_day,scenario,heldout_site
8,,0.9072222222222224,0.7977369165487977,1.5477777777777777,0.4522222222222222,0.5477777777777778,0.0,0.9272222222222222,0.8868458274398868,1.6194444444444445,0.3805555555555555,0.6194444444444445,0.0,OULAD,FFF-J|14,0.019999999999999796,0.08910891089108908,0.07166666666666677,-0.07166666666666671,0.07166666666666666,0.0,FFF-J,14.0,,
9,,0.9172222222222224,0.8359264497878359,1.5555555555555556,0.4444444444444444,0.5555555555555556,0.0,0.9338888888888888,0.9264497878359264,1.6583333333333334,0.3416666666666667,0.6583333333333333,0.0,OULAD,FFF-J|14,0.016666666666666385,0.09052333804809043,0.10277777777777786,-0.10277777777777775,0.10277777777777775,0.0,FFF-J,14.0,,
0,,0.9093444909344492,0.7737226277372263,1.665271966527197,0.3347280334728033,0.6652719665271967,0.0,0.902370990237099,0.8984198645598194,1.7140864714086472,0.2859135285913529,0.7140864714086471,0.0,OULAD,GGG-J|14,-0.0069735006973502545,0.12469723682259304,0.04881450488145034,-0.04881450488145039,0.04881450488145045,0.0,GGG-J,14.0,,
1,,0.8758716875871687,0.7043795620437956,1.5690376569037656,0.4309623430962343,0.5690376569037657,0.0,0.8758716875871687,0.8645598194130926,1.6401673640167365,0.3598326359832636,0.6401673640167364,0.0,OULAD,GGG-J|14,0.0,0.16018025736929697,0.07112970711297084,-0.07112970711297073,0.07112970711297062,0.0,GGG-J,14.0,,
2,,0.9721059972105998,0.927007299270073,1.8800557880055788,0.1199442119944212,0.8800557880055788,0.0,0.9595536959553695,0.9593679458239278,1.8661087866108788,0.1338912133891213,0.8661087866108786,0.0,OULAD,GGG-J|14,-0.012552301255230214,0.032360646553854844,-0.013947001394700065,0.013947001394700106,-0.013947001394700176,0.0,GGG-J,14.0,,
3,,0.8967921896792189,0.7335766423357665,1.610878661087866,0.3891213389121339,0.6108786610878661,0.0,0.8967921896792189,0.8905109489051095,1.6903765690376569,0.309623430962343,0.6903765690376569,0.0,OULAD,GGG-J|14,0.0,0.15693430656934304,0.07949790794979084,-0.07949790794979089,0.07949790794979072,0.0,GGG-J,14.0,,
4,,0.9191073919107392,0.7883211678832117,1.6861924686192469,0.3138075313807531,0.6861924686192469,0.0,0.9609483960948396,0.937956204379562,1.815899581589958,0.1841004184100418,0.8158995815899581,0.0,OULAD,GGG-J|14,0.04184100418410042,0.14963503649635024,0.12970711297071102,-0.12970711297071133,0.12970711297071125,0.0,GGG-J,14.0,,
5,,0.9260808926080892,0.8065693430656934,1.7531380753138075,0.2468619246861924,0.7531380753138075,0.0,0.9121338912133892,0.9006772009029346,1.7336122733612274,0.2663877266387726,0.7336122733612274,0.0,OULAD,GGG-J|14,-0.013947001394700065,0.09410785783724118,-0.019525801952580135,0.01952580195258019,-0.019525801952580135,0.0,GGG-J,14.0,,
6,,0.9037656903765692,0.7481751824817519,1.6541143654114363,0.3458856345885635,0.6541143654114365,0.0,0.9079497907949792,0.8941605839416058,1.7182705718270572,0.2817294281729428,0.7182705718270572,0.0,OULAD,GGG-J|14,0.004184100418409997,0.14598540145985395,0.06415620641562092,-0.0641562064156207,0.0641562064156207,0.0,GGG-J,14.0,,
7,,0.9121338912133892,0.7700729927007299,1.6708507670850767,0.3291492329149233,0.6708507670850767,0.0,0.9330543933054394,0.8868613138686131,1.7545327754532776,0.2454672245467224,0.7545327754532776,0.0,OULAD,GGG-J|14,0.02092050209205021,0.11678832116788318,0.08368200836820083,-0.08368200836820092,0.08368200836820083,0.0,GGG-J,14.0,,
