mapping,scenario_family,conformal_method,alpha,metric,n_repeats,mean,sd,min,q25,median,q75,max
platt,fixed_count_mcar_like,label_conditional,0.05,class1_singleton_accuracy,20,0.8149922299922301,0.18708307197827823,0.2857142857142857,0.7285714285714285,0.8819444444444444,0.9624999999999999,1.0
platt,fixed_count_mcar_like,label_conditional,0.05,empty_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
platt,fixed_count_mcar_like,label_conditional,0.1,coverage,20,0.9103333333333332,0.050051435532164394,0.7733333333333333,0.8983333333333333,0.9199999999999999,0.9433333333333334,0.9666666666666667
platt,fixed_count_mcar_like,label_conditional,0.1,avg_set_size,20,1.5086666666666666,0.13729381138010138,1.26,1.4033333333333333,1.4966666666666666,1.58,1.8066666666666666
platt,fixed_count_mcar_like,label_conditional,0.1,singleton_rate,20,0.4913333333333333,0.13729381138010138,0.19333333333333333,0.42,0.5033333333333333,0.5966666666666667,0.74
platt,fixed_count_mcar_like,label_conditional,0.1,singleton_accuracy,20,0.8229068972211577,0.062009340805002484,0.6936936936936937,0.7935139573070608,0.8332450681848272,0.8661184210526316,0.90625
platt,fixed_count_mcar_like,label_conditional,0.1,class0_coverage,20,0.9271428571428573,0.04262258284717465,0.8380952380952381,0.9095238095238095,0.9428571428571428,0.9619047619047619,0.9714285714285714
platt,fixed_count_mcar_like,label_conditional,0.1,class1_coverage,20,0.8711111111111112,0.10537226314432059,0.5555555555555556,0.8222222222222222,0.8777777777777778,0.9388888888888889,1.0
platt,fixed_count_mcar_like,label_conditional,0.1,class0_singleton_accuracy,20,0.8499858687786824,0.08013206697994395,0.6976744186046512,0.7971230158730159,0.8822923816060397,0.9185052399338114,0.95
platt,fixed_count_mcar_like,label_conditional,0.1,class1_singleton_accuracy,20,0.7311016493658,0.17159092821236618,0.3333333333333333,0.6465909090909091,0.746031746031746,0.8398692810457515,1.0
platt,fixed_count_mcar_like,label_conditional,0.1,empty_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
platt,fixed_count_mcar_like,label_conditional,0.2,coverage,20,0.8216666666666667,0.052576872152878366,0.7133333333333334,0.7916666666666666,0.8366666666666667,0.86,0.8866666666666667
platt,fixed_count_mcar_like,label_conditional,0.2,avg_set_size,20,1.2436666666666665,0.09770405248169102,1.1066666666666667,1.16,1.2266666666666666,1.3033333333333332,1.4933333333333334
platt,fixed_count_mcar_like,label_conditional,0.2,singleton_rate,20,0.7563333333333333,0.09770405248169099,0.5066666666666667,0.6966666666666667,0.7733333333333333,0.84,0.8933333333333333
platt,fixed_count_mcar_like,label_conditional,0.2,singleton_accuracy,20,0.7661371660596397,0.05005127253847136,0.6587301587301587,0.7400640728015601,0.7689393939393939,0.8066416593115622,0.8333333333333334
platt,fixed_count_mcar_like,label_conditional,0.2,class0_coverage,20,0.8423809523809525,0.0575984345572371,0.7142857142857143,0.8166666666666667,0.8523809523809524,0.8785714285714286,0.9333333333333333
platt,fixed_count_mcar_like,label_conditional,0.2,class1_coverage,20,0.7733333333333334,0.10487778710203798,0.5111111111111111,0.7111111111111111,0.8,0.8444444444444444,0.9111111111111111
platt,fixed_count_mcar_like,label_conditional,0.2,class0_singleton_accuracy,20,0.7936797732286408,0.07076878372252414,0.6511627906976745,0.7590996168582376,0.7946961714085001,0.8495798319327731,0.9186046511627907
platt,fixed_count_mcar_like,label_conditional,0.2,class1_singleton_accuracy,20,0.6935226494425601,0.11791537256555346,0.42105263157894735,0.642436974789916,0.6913513513513514,0.772235576923077,0.8709677419354839
platt,fixed_count_mcar_like,label_conditional,0.2,empty_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
platt,fixed_count_mcar_like,marginal,0.05,coverage,20,0.9383333333333331,0.032435270672922276,0.8466666666666667,0.92,0.94,0.9633333333333334,0.98
platt,fixed_count_mcar_like,marginal,0.05,avg_set_size,20,1.537,0.117627124214091,1.3533333333333333,1.4716666666666667,1.5366666666666666,1.58,1.8066666666666666
platt,fixed_count_mcar_like,marginal,0.05,singleton_rate,20,0.46299999999999997,0.117627124214091,0.19333333333333333,0.42,0.4633333333333334,0.5283333333333333,0.6466666666666666
platt,fixed_count_mcar_like,marginal,0.05,singleton_accuracy,20,0.8720389049660289,0.04402246506554084,0.7578947368421053,0.8409523809523809,0.8789338035811177,0.900609756097561,0.9411764705882353
platt,fixed_count_mcar_like,marginal,0.05,class0_coverage,20,0.9971428571428571,0.005440386386452183,0.9809523809523809,0.9976190476190476,1.0,1.0,1.0
platt,fixed_count_mcar_like,marginal,0.05,class1_coverage,20,0.8011111111111113,0.1068115487789902,0.5111111111111111,0.75,0.8,0.8944444444444444,0.9333333333333333
platt,fixed_count_mcar_like,marginal,0.05,class0_singleton_accuracy,20,0.9952438658958205,0.008818756094536645,0.9746835443037974,0.9965277777777778,1.0,1.0,1.0
platt,fixed_count_mcar_like,marginal,0.05,class1_singleton_accuracy,20,0.12885638906418956,0.13617891465476373,0.0,0.0,0.09545454545454546,0.1823529411764706,0.4444444444444444
platt,fixed_count_mcar_like,marginal,0.05,empty_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
platt,fixed_count_mcar_like,marginal,0.1,coverage,20,0.8873333333333331,0.039759510981025564,0.7733333333333333,0.87,0.89,0.9099999999999999,0.9466666666666667
platt,fixed_count_mcar_like,marginal,0.1,avg_set_size,20,1.3456666666666666,0.08414065083422528,1.2,1.305,1.3266666666666667,1.3883333333333332,1.5066666666666666
platt,fixed_count_mcar_like,marginal,0.1,singleton_rate,20,0.6543333333333334,0.08414065083422528,0.49333333333333335,0.6116666666666667,0.6733333333333333,0.6950000000000001,0.8
platt,fixed_count_mcar_like,marginal,0.1,singleton_accuracy,20,0.8313299781295342,0.041886429199693306,0.7166666666666667,0.8124224565756825,0.8349170775437024,0.8560382916053019,0.8918918918918919
platt,fixed_count_mcar_like,marginal,0.1,class0_coverage,20,0.9871428571428572,0.014252258234434304,0.9523809523809523,0.9809523809523809,0.9904761904761905,1.0,1.0
platt,fixed_count_mcar_like,marginal,0.1,class1_coverage,20,0.6544444444444444,0.12414228144707584,0.35555555555555557,0.5888888888888889,0.6444444444444445,0.7444444444444445,0.8222222222222222
platt,fixed_count_mcar_like,marginal,0.1,class0_singleton_accuracy,20,0.9824923191765101,0.01961450572888565,0.9354838709677419,0.9733065442020665,0.9870107962213226,1.0,1.0
platt,fixed_count_mcar_like,marginal,0.1,class1_singleton_accuracy,20,0.22782295966483151,0.14860758113380249,0.0,0.08444816053511706,0.23157894736842105,0.36401098901098905,0.42857142857142855
platt,fixed_count_mcar_like,marginal,0.1,empty_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
platt,fixed_count_mcar_like,marginal,0.2,coverage,20,0.8016666666666665,0.05823425169241413,0.6866666666666666,0.7566666666666667,0.82,0.8416666666666667,0.88
platt,fixed_count_mcar_like,marginal,0.2,avg_set_size,20,1.1203333333333334,0.08942898780400638,1.0,1.0416666666666665,1.13,1.195,1.2533333333333334
platt,fixed_count_mcar_like,marginal,0.2,singleton_rate,20,0.8796666666666667,0.08942898780400638,0.7466666666666667,0.8049999999999999,0.87,0.9583333333333334,1.0
platt,fixed_count_mcar_like,marginal,0.2,singleton_accuracy,20,0.7780605757108658,0.04502958548404853,0.6866666666666666,0.7461203180381262,0.7902798982188295,0.8020943702761885,0.8461538461538461
platt,fixed_count_mcar_like,marginal,0.2,class0_coverage,20,0.9485714285714286,0.03217092434659343,0.8571428571428571,0.9428571428571428,0.9523809523809523,0.9714285714285714,0.9904761904761905
platt,fixed_count_mcar_like,marginal,0.2,class1_coverage,20,0.45888888888888885,0.17035299513060376,0.17777777777777778,0.3222222222222222,0.5111111111111111,0.5833333333333333,0.7333333333333333
platt,fixed_count_mcar_like,marginal,0.2,class0_singleton_accuracy,20,0.9441092125364282,0.033210416854657976,0.8543689320388349,0.9359649122807018,0.9453405017921147,0.9678904170363798,0.9900990099009901
platt,fixed_count_mcar_like,marginal,0.2,class1_singleton_accuracy,20,0.33268694045593455,0.11616231323658391,0.14285714285714285,0.2677556818181818,0.32379032258064516,0.4041666666666667,0.5714285714285714
platt,fixed_count_mcar_like,marginal,0.2,empty_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
platt,label_independent_measurement_corruption,label_conditional,0.05,coverage,20,0.9380000000000001,0.03186961742192527,0.8533333333333334,0.9316666666666666,0.9433333333333334,0.9550000000000001,0.9866666666666667
platt,label_independent_measurement_corruption,label_conditional,0.05,avg_set_size,20,1.7153333333333332,0.11220490862911404,1.4933333333333334,1.635,1.7333333333333334,1.7933333333333332,1.9133333333333333
platt,label_independent_measurement_corruption,label_conditional,0.05,singleton_rate,20,0.28466666666666673,0.11220490862911407,0.08666666666666667,0.20666666666666667,0.26666666666666666,0.365,0.5066666666666667
platt,label_independent_measurement_corruption,label_conditional,0.05,singleton_accuracy,20,0.7784245250355293,0.07583823200513579,0.6153846153846154,0.7397849462365591,0.7936623125302371,0.8286654135338346,0.8947368421052632
platt,label_independent_measurement_corruption,label_conditional,0.05,class0_coverage,20,0.9461904761904762,0.033031212296823556,0.8476190476190476,0.930952380952381,0.9523809523809523,0.9619047619047619,0.9904761904761905
platt,label_independent_measurement_corruption,label_conditional,0.05,class1_coverage,20,0.918888888888889,0.0696319107087682,0.7333333333333333,0.8833333333333333,0.9444444444444444,0.9611111111111111,1.0
platt,label_independent_measurement_corruption,label_conditional,0.05,class0_singleton_accuracy,20,0.7821679497053349,0.15579579798301216,0.2857142857142857,0.7195740365111563,0.7960662525879918,0.9166666666666666,0.9565217391304348
