horizon_day,repeat,domain,conformal_method,aggregation,coverage,avg_set_size,singleton_rate,class0_coverage,class1_coverage,class0_avg_set_size,class1_avg_set_size,class0_singleton_accuracy,class1_singleton_accuracy
56,1,id_test,marginal,equal_pair,0.891941369453536,1.4302880802272466,0.5697119197727534,0.955795305482137,0.780030514685625,1.4056686486032501,1.487859706002036,0.9220951825753136,0.5186435874555355
56,1,id_test,marginal,size_weighted,0.8873014885459649,1.415140668861639,0.584859331138361,0.9492748456525523,0.7926396989736652,1.3923075501963373,1.4585373305809934,0.9138672349129208,0.5884920140476303
56,1,ood_test,label_conditional,equal_pair,0.8938747432731488,1.5515011722031542,0.4484988277968455,0.8953215855154907,0.8838459261800569,1.6025905453032883,1.4739922021076959,0.6397504124859615,0.8219244473474778
56,1,ood_test,label_conditional,size_weighted,0.880387504942665,1.4910043495452747,0.5089956504547252,0.894218383574875,0.8441710744400308,1.538109909643902,1.425301532169134,0.708645208863775,0.7711452573404388
56,1,ood_test,marginal,equal_pair,0.8934799342194076,1.471401653827866,0.5285983461721341,0.9569231856174696,0.7671764585883857,1.4586042188954833,1.511501580130549,0.9099694289934005,0.49661465388496434
56,1,ood_test,marginal,size_weighted,0.8809806247528668,1.4307038355081059,0.569296164491894,0.9518531627633963,0.7475799366182991,1.4192772708649757,1.4636443628346423,0.9035382347363433,0.5394981578475511
56,2,id_test,label_conditional,equal_pair,0.903666639126383,1.574847043105365,0.42515295689463517,0.9211954279928989,0.881583147763706,1.6152135777654084,1.5328149988353086,0.7654971186657098,0.6746444386712689
56,2,id_test,label_conditional,size_weighted,0.9018619406130521,1.5393370339163432,0.4606629660836568,0.9202176328840949,0.8783650147876212,1.5829470732831918,1.4902247541827878,0.793544442697813,0.7404610957802995
56,2,id_test,marginal,equal_pair,0.8872400574677667,1.4962440493954325,0.5037559506045675,0.9551951678550061,0.765351814488968,1.509947923338252,1.4826370244039166,0.9062407354134245,0.5049909573155376
56,2,id_test,marginal,size_weighted,0.8861805662059001,1.4655943853106745,0.5344056146893252,0.9500214869876048,0.7872065949235519,1.4749581811326093,1.463011577858857,0.8991285176794404,0.5780620522907058
