horizon_day,domain,aggregation,metric,n_repeats,mean,sd,min,q25,median,q75,max
14,ood_test,size_weighted,calibration_intercept,10,-0.061505365820680155,0.1272216706806969,-0.29822404317533574,-0.09751628915942988,-0.05206326198105665,-0.017295476291412253,0.16577772721506767
14,ood_test,size_weighted,calibration_slope,10,0.9109814583855549,0.1812767122114681,0.4752762249313959,0.8606371579698878,0.9363327098750107,1.0332410236996767,1.1277259908503345
14,ood_test,size_weighted,hcep_080,10,0.0350970688998858,0.010126361905971722,0.02398172820708032,0.02769318614389037,0.0320232204035021,0.0401598781880472,0.05395888846593072
14,ood_test,size_weighted,hcep_090,10,0.005824133993148078,0.004351749373009065,0.0011419870574800152,0.00299771602588504,0.004567948229920061,0.007018462124095927,0.014845831747240197
14,ood_test,size_weighted,hcep_095,10,0.0010373049105443471,0.0005278617084464431,0.00019033117624666921,0.0006661591168633422,0.0009992386752950132,0.00123715264560335,0.0019984773505900264
14,ood_test,size_weighted,aurc,10,0.24779059464452846,0.004555925300322818,0.24027326290231038,0.24509825244574246,0.24785153602221666,0.24946606368825647,0.25675369436656603
14,ood_test,size_weighted,excess_aurc,10,0.18285466550316382,0.003842270305212921,0.17871191160828315,0.18020322485499057,0.18273825723575438,0.18360060641877535,0.1920746659452901
56,id_test,equal_pair,prevalence,10,0.40438687588844424,0.0,0.40438687588844424,0.40438687588844424,0.40438687588844424,0.40438687588844424,0.40438687588844424
56,id_test,equal_pair,auroc,10,0.7439327311086965,0.018446136284661307,0.6953793935967398,0.7433385630485376,0.7481635504772681,0.7505215972190925,0.7617855134251801
56,id_test,equal_pair,average_precision,10,0.6949465106320941,0.016885938043123095,0.6570911152089361,0.6894086246801534,0.6992369097996001,0.7040437708048034,0.714837765174433
56,id_test,equal_pair,pr_skill,10,0.5045984112880764,0.025261692996693154,0.44841591479906434,0.5014331556044155,0.5092878859268546,0.516645919665762,0.532628245257462
56,id_test,equal_pair,brier,10,0.1864474335078282,0.0027079273424649715,0.18236720005791934,0.18494308639336737,0.1869248254395392,0.18741712223417767,0.19223625903846953
56,id_test,equal_pair,log_loss,10,0.5525354176589042,0.0066269688963746754,0.5431792155265245,0.5479838066401733,0.5542119622008329,0.55580773577015,0.5653413012153374
56,id_test,equal_pair,ece,10,0.08372115907361152,0.009731423299213447,0.07077078509722323,0.07645471952766077,0.08493978211204081,0.08924620368753566,0.10157521786969205
56,id_test,equal_pair,calibration_intercept,10,-0.09840052043971649,0.282896242924309,-0.8537198817359409,-0.12279501946381104,-0.02606904859666264,0.004000078076979592,0.17152236961978218
