target_definition,model,mapping,domain,alpha,conformal_method,weighting,metric,n_repeats,mean,sd,min,q25,median,q75,max
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.2,label_conditional,survey_weighted,singleton_rate,10,0.9775309833434447,0.023390936181233165,0.9457302904746576,0.9550728927789337,0.9836532984561897,1.0,1.0
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.2,label_conditional,survey_weighted,ambiguous_rate,10,0.018845008537979133,0.023823665175900264,0.0,0.0,0.006900943961358749,0.04058996571585154,0.05426970952534241
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.2,label_conditional,survey_weighted,empty_rate,10,0.003624008118576231,0.011460119913642455,0.0,0.0,0.0,0.0,0.03624008118576231
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.2,label_conditional,survey_weighted,singleton_accuracy,10,0.812449358875814,0.009437576719637892,0.7965987832546026,0.808049067827451,0.811924465001201,0.8168010141921629,0.8283679739934271
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.2,label_conditional,survey_weighted,class0_coverage,10,0.8202550912323943,0.023197991915895996,0.7862102675572709,0.8002720860753716,0.824740974023183,0.8378808286113278,0.8516319257493014
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.2,label_conditional,survey_weighted,class1_coverage,10,0.8011422808761772,0.019870174057783015,0.7701807687975032,0.7856607998443257,0.801523537336639,0.8131968912682992,0.8291041740519719
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.2,label_conditional,survey_weighted,class0_avg_set_size,10,1.0137659999747355,0.027045922048744567,0.96592294962283,1.0,1.0064264100047544,1.0357636167662356,1.0524312935178413
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.2,label_conditional,survey_weighted,class1_avg_set_size,10,1.0175329868160075,0.03262595411511456,0.9603193272856186,1.0,1.0076688635883349,1.0482444148423684,1.0617738007902284
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.2,label_conditional,survey_weighted,class0_singleton_accuracy,10,0.8201879773412324,0.018907491782570365,0.7862102675572709,0.8205067235161086,0.823615281620234,0.8294346143116729,0.8450357230845036
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.2,label_conditional,survey_weighted,class1_singleton_accuracy,10,0.8000497644141298,0.015708996393526548,0.7797434377062921,0.7863394304620169,0.7994664299555292,0.8105151942800888,0.8266011843810168
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.2,label_conditional,unweighted,coverage,10,0.8083199999999999,0.016391048445288756,0.7802666666666667,0.7967166666666667,0.8063666666666667,0.82265,0.8294666666666667
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.2,label_conditional,unweighted,avg_set_size,10,1.0161866666666666,0.030403960105937794,0.9626666666666667,1.0,1.0077666666666667,1.0426,1.0571333333333333
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.2,label_conditional,unweighted,singleton_rate,10,0.9763466666666668,0.024369578282748595,0.9428666666666666,0.9532666666666667,0.9818333333333333,1.0,1.0
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.2,label_conditional,unweighted,ambiguous_rate,10,0.01992,0.024894995282655846,0.0,0.0,0.0077666666666666665,0.0426,0.057133333333333335
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.2,label_conditional,unweighted,empty_rate,10,0.0037333333333333337,0.011805836597961951,0.0,0.0,0.0,0.0,0.037333333333333336
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.2,label_conditional,unweighted,singleton_accuracy,10,0.8076854830321025,0.009075759380855622,0.7946,0.8025749170447619,0.8077631578947368,0.8139119558876604,0.8202357563850687
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.2,label_conditional,unweighted,class0_coverage,10,0.7966244309344804,0.02446510733780358,0.7611771363893605,0.7739152570734129,0.8027311419017041,0.8164046241761956,0.8273904156257097
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.2,label_conditional,unweighted,class1_coverage,10,0.8250497416944007,0.01662401999759472,0.7965472733139722,0.8127950251529426,0.8258701078546897,0.8376377068633831,0.8474466709760827
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.2,label_conditional,unweighted,class0_avg_set_size,10,1.0151827075016384,0.029504088124777714,0.962394910247671,1.0,1.0077655594603785,1.0389486530569525,1.0576486609169315
cpi_constant_2018usd,lightgbm,isotonic,id_test,0.2,label_conditional,unweighted,class1_avg_set_size,10,1.0176148163030212,0.03179984894333634,0.9630525976121329,1.0,1.0077682472892053,1.0477921465507034,1.0610662358642973
