analysis_id,estimand,representation,horizon_day,domain,metric,n_repeats,mean,sd,min,q25,median,q75,max
GGG-J,landmark_still_registered,score_free,14,ood_test,auroc,10,0.6104957901501046,0.08195057842201071,0.3786640523306586,0.6266126773327182,0.6320006261224893,0.6444509894383023,0.6482592147105831
GGG-J,landmark_still_registered,score_free,14,ood_test,average_precision,10,0.5092792597729198,0.06502186445725683,0.328780248884078,0.5118529649339566,0.5301100694375532,0.5341638668418068,0.553124556810231
GGG-J,landmark_still_registered,score_free,14,ood_test,pr_skill,10,0.20576349719454523,0.10523854811705001,-0.08637598544044264,0.20992906514141513,0.23947837423640106,0.2460394865137145,0.2767275558305544
GGG-J,landmark_still_registered,score_free,14,ood_test,brier,10,0.2257928435245185,0.005451555238843776,0.22069863009416626,0.22350016583297141,0.2250874699783844,0.22554218645721247,0.2405500028827616
GGG-J,landmark_still_registered,score_free,14,ood_test,log_loss,10,0.6441996449559034,0.011304709448312005,0.6347293688356296,0.6381734963282117,0.6421122618932583,0.6442296170074208,0.6748726690275051
GGG-J,landmark_still_registered,score_free,14,ood_test,ece,10,0.03876848035006196,0.012242734419272238,0.025531892654241276,0.029210559831478772,0.03645845125861178,0.04430816156942538,0.06363756873123816
GGG-J,landmark_still_registered,score_free,14,ood_test,calibration_intercept,10,-0.16332525928257402,1.0799882551795064,-3.187332253524393,-0.03938313501907291,0.1360523720508062,0.34317566866760335,0.4412378672381276
GGG-J,landmark_still_registered,score_free,14,ood_test,calibration_slope,10,0.6255250922488172,1.8633515371585347,-4.574152383460919,0.8076490675284571,1.0553784172117582,1.4836092080300995,1.803287572995364
GGG-J,landmark_still_registered,score_free,14,ood_test,hcep_080,10,0.009762900976290097,0.010519487214304752,0.0,0.000697350069735007,0.008368200836820083,0.013598326359832637,0.03347280334728033
GGG-J,landmark_still_registered,score_free,14,ood_test,hcep_090,10,0.0011157601115760112,0.0014404401101654734,0.0,0.0,0.0,0.002789400278940028,0.002789400278940028
GGG-J,landmark_still_registered,score_free,14,ood_test,hcep_095,10,0.0002789400278940028,0.000588057212490633,0.0,0.0,0.0,0.0,0.001394700139470014
GGG-J,landmark_still_registered,score_free,14,ood_test,aurc,10,0.31184307114906396,0.06065304537497154,0.2802211758446457,0.2860021386496781,0.2942138665331332,0.3032204040287442,0.48249972340802433
GGG-J,landmark_still_registered,score_free,14,ood_test,excess_aurc,10,0.23515628248382536,0.057946070915916296,0.20213238013427803,0.21013493748822965,0.2176685051341157,0.22813185046739037,0.39785161400361996
GGG-J,landmark_still_registered,score_free,56,id_test,prevalence,10,0.355072463768116,5.851389114294502e-17,0.35507246376811596,0.35507246376811596,0.35507246376811596,0.35507246376811596,0.35507246376811596
GGG-J,landmark_still_registered,score_free,56,id_test,auroc,10,0.6607429488649392,0.05041705434403765,0.5966521440036688,0.624168768631048,0.6552396239394634,0.7012153175877092,0.731254299472598
GGG-J,landmark_still_registered,score_free,56,id_test,average_precision,10,0.5392326348702091,0.06421555066260688,0.45218783256197737,0.4893427505900202,0.5285770152849623,0.585552449771566,0.6409369657205419
GGG-J,landmark_still_registered,score_free,56,id_test,pr_skill,10,0.28555172597852646,0.09957017967909833,0.1505833808264368,0.20819437731935717,0.2690295293182561,0.35737346144355175,0.443250576061065
GGG-J,landmark_still_registered,score_free,56,id_test,brier,10,0.21198772847778807,0.011300184585920319,0.19695594805466932,0.20228457565658559,0.21219410954615459,0.2222212975138494,0.22576136750773307
GGG-J,landmark_still_registered,score_free,56,id_test,log_loss,10,0.614297538668475,0.025206823066861093,0.5835429426925124,0.5922494149055952,0.6139033094357764,0.6384792649987443,0.646044977576006
GGG-J,landmark_still_registered,score_free,56,id_test,ece,10,0.09279784999422543,0.02849482902442295,0.04737278416204078,0.08407280332683209,0.09558378462095092,0.10190474672296168,0.1427312524747802
GGG-J,landmark_still_registered,score_free,56,id_test,calibration_intercept,10,-0.02657866233401287,0.16105559910392034,-0.3190200548612963,-0.10543125358641053,-0.026262784165611487,0.06103794677193249,0.22568108088124952
GGG-J,landmark_still_registered,score_free,56,id_test,calibration_slope,10,0.990625441002557,0.39620254269171945,0.5416701268169385,0.6351251955486414,0.9432306670466859,1.3041528173523245,1.605349912679272
GGG-J,landmark_still_registered,score_free,56,id_test,hcep_080,10,0.025362318840579712,0.017501662736943768,0.007246376811594203,0.014492753623188406,0.021739130434782608,0.034420289855072464,0.06521739130434782
GGG-J,landmark_still_registered,score_free,56,id_test,hcep_090,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GGG-J,landmark_still_registered,score_free,56,id_test,hcep_095,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GGG-J,landmark_still_registered,score_free,56,id_test,aurc,10,0.24682824887633714,0.03790856781947839,0.199939593681205,0.2198352327946579,0.23664548874828706,0.27470857405177884,0.31776317579545266
GGG-J,landmark_still_registered,score_free,56,id_test,excess_aurc,10,0.18903738535272452,0.029543936332506824,0.15316038888226471,0.1622952472241126,0.1882684327809634,0.20859279930300717,0.242351918593128
GGG-J,landmark_still_registered,score_free,56,ood_test,prevalence,10,0.3635057471264368,0.0,0.3635057471264368,0.3635057471264368,0.3635057471264368,0.3635057471264368,0.3635057471264368
GGG-J,landmark_still_registered,score_free,56,ood_test,auroc,10,0.7075223726121753,0.01618789995359267,0.6849365179917737,0.6946974901631885,0.7058369542911695,0.71704556607393,0.7324387262555876
GGG-J,landmark_still_registered,score_free,56,ood_test,average_precision,10,0.601686861166814,0.01933857661977809,0.5817095675897712,0.584230076793971,0.5972052394792897,0.6169635919636607,0.6309862161590005
GGG-J,landmark_still_registered,score_free,56,ood_test,pr_skill,10,0.37420779993702585,0.03038295559224729,0.34282135224036286,0.3467813396131011,0.3671666967891325,0.39820916480069496,0.4202401951391972
GGG-J,landmark_still_registered,score_free,56,ood_test,brier,10,0.20358175365461667,0.0040637410342799045,0.1960023600903769,0.20064797338505455,0.20378508204237417,0.20716196844603857,0.20839856887584335
GGG-J,landmark_still_registered,score_free,56,ood_test,log_loss,10,0.5953517247004291,0.00924836869213826,0.5776198833515304,0.5896748431975546,0.5957957972319625,0.6028116816152733,0.6062636362305224
GGG-J,landmark_still_registered,score_free,56,ood_test,ece,10,0.05637884103413589,0.010835909052116292,0.04279567501010349,0.04536193513899854,0.060744645240821786,0.06265949802493606,0.07118726484656186
GGG-J,landmark_still_registered,score_free,56,ood_test,calibration_intercept,10,0.06427365881582442,0.19485915509273763,-0.1072680427863932,-0.053336131757628746,-0.004549532472258536,0.11597241520111115,0.5453508090853011
GGG-J,landmark_still_registered,score_free,56,ood_test,calibration_slope,10,1.3974076646550364,0.24544899373311668,1.1100029704821448,1.246400494946968,1.3449251633506107,1.5477144883610616,1.8744891181107588
GGG-J,landmark_still_registered,score_free,56,ood_test,hcep_080,10,0.008764367816091955,0.007277487566563368,0.0,0.005747126436781609,0.00646551724137931,0.009339080459770114,0.022988505747126436
