repeat,feature_set,auroc,brier,ece,hcep_090,aurc
8,bishkred|laufkont|telef,0.7274074074074074,0.18612180488529168,0.11878009562429032,0.04666666666666667,0.17448685548950948
8,gastarb|laufzeit|weitkred,0.804021164021164,0.16046479201618,0.09818485393695316,0.006666666666666667,0.11064131643388048
8,gastarb|hoehe|pers,0.8061375661375662,0.1536621420408383,0.0723518343816128,0.013333333333333334,0.11716956070374566
8,buerge|laufkont|moral,0.7255026455026455,0.17858903573847223,0.09423840108653318,0.02666666666666667,0.1998819921914547
8,famges|laufkont|telef,0.7187301587301589,0.1942014387721989,0.12619338556882612,0.06666666666666667,0.17628434360646195
8,alter|famges|wohn,0.7974603174603175,0.1628554328382937,0.07996679546933232,0.02,0.11596365284760005
8,alter|laufkont|sparkont,0.7108994708994709,0.18058705278480416,0.08110775919706524,0.04,0.1861251016051978
8,beruf|bishkred|wohnzeit,0.8112169312169312,0.15569252532090133,0.06273382911347739,0.013333333333333334,0.10899462946825486
8,laufkont|verm|weitkred,0.72,0.18840062367105082,0.12092960179923805,0.04666666666666667,0.18405172150860893
8,beruf|bishkred|laufkont,0.7348148148148148,0.18689463392947112,0.13873435176590118,0.04666666666666667,0.1728180329972625
8,alter|hoehe|weitkred,0.7974603174603175,0.15975745648033177,0.0886093353046561,0.006666666666666667,0.11592788687569214
8,bishkred|hoehe|verw,0.7879365079365079,0.16267418714762827,0.04888011042055597,0.02666666666666667,0.12599809106586218
8,moral|rate|sparkont,0.7693121693121693,0.1797079956698906,0.13538881144235998,0.0,0.15434969282598
8,bishkred|famges|rate,0.7983068783068783,0.1641517656137119,0.0727522961744219,0.006666666666666667,0.11642999340616496
8,moral|sparkont|wohn,0.7682539682539682,0.16953595248246145,0.13086634801652536,0.0,0.13567916476582484
8,alter|buerge|verw,0.7993650793650793,0.15673860735331033,0.05971275770631516,0.02,0.11664282565523469
8,buerge|gastarb|hoehe,0.8139682539682539,0.15156139513535127,0.0902432303938483,0.013333333333333334,0.10987296878148743
9,hoehe|verm|wohnzeit,0.7843386243386242,0.16834387972625148,0.08871025444004454,0.006666666666666667,0.13957223139681302
9,bishkred|famges|rate,0.762116402116402,0.17632761514693712,0.0982994373164952,0.006666666666666667,0.1467633604428184
9,sparkont|telef|wohn,0.7604232804232804,0.17294345799684757,0.07740476358592394,0.0,0.14700540958793443
9,bishkred|telef|weitkred,0.7765079365079365,0.17098044468555315,0.08278610893376777,0.0,0.13579638577638162
9,pers|verw|wohnzeit,0.7462433862433863,0.1767250323521939,0.07437925152852636,0.013333333333333334,0.16705888916314465
9,alter|buerge|rate,0.7424338624338624,0.17682754614851856,0.05647252628055476,0.006666666666666667,0.16323717900779525
9,alter|rate|wohn,0.7665608465608467,0.16980588453773515,0.06742212459990135,0.006666666666666667,0.15079253851822552
9,alter|laufzeit|sparkont,0.7297354497354498,0.18028640206480304,0.040120279592342344,0.0,0.1549127894288707
9,beszeit|bishkred|moral,0.780952380952381,0.17298750548812533,0.11353580550514843,0.0,0.138601690753575
9,famges|hoehe|moral,0.7536507936507936,0.17735234336443276,0.06603148579095197,0.0,0.15386595551203
9,gastarb|laufzeit|pers,0.7504761904761904,0.1760325156986876,0.09960231957250645,0.0,0.15018148380454355
9,alter|telef|wohnzeit,0.7650793650793649,0.1714511971699425,0.09771518655655811,0.013333333333333334,0.14776992268300765
9,beszeit|verm|verw,0.7422222222222222,0.17682499099307497,0.05827579975413955,0.0,0.15892693166397304
9,moral|pers|telef,0.7551322751322751,0.17444162760123055,0.07287258946375508,0.0,0.1511240309967543
9,famges|hoehe|pers,0.7593650793650794,0.17655717789571918,0.09485690309319719,0.006666666666666667,0.15170295468800982
9,laufzeit|rate|sparkont,0.7238095238095238,0.18166377929092087,0.07902557356848791,0.0,0.160215906603639
9,alter|buerge|laufzeit,0.748994708994709,0.1767045967975537,0.046694595155389984,0.0,0.14934699549130787
9,buerge|laufzeit|telef,0.7506878306878307,0.1760239682890366,0.05697539147475258,0.0,0.14681833296886976
9,beruf|hoehe|pers,0.7671957671957672,0.17177494093102222,0.0841634622252751,0.0,0.1439314830933277
9,alter|pers|verm,0.7661375661375661,0.17015945984444342,0.0493797342295911,0.006666666666666667,0.14901606357452868
10,laufkont|moral|pers,0.7873015873015873,0.18580745794967796,0.12261795476589317,0.006666666666666667,0.1385635499068671
10,pers|verw|wohn,0.8118518518518518,0.15708453006805506,0.07127420358539152,0.0,0.10729727078758844
10,beszeit|bishkred|telef,0.8224338624338624,0.15448848339985072,0.07917479525530724,0.0,0.10049294926812821
10,alter|sparkont|weitkred,0.83005291005291,0.15429559811407326,0.09644816313645442,0.0,0.09267245383917895
10,bishkred|famges|wohnzeit,0.8154497354497354,0.15835410034589767,0.0726721066665528,0.0,0.10731701859296885
10,alter|beszeit|verw,0.8171428571428572,0.15730757788703567,0.07246091356398204,0.0,0.10237219597064715
10,hoehe|laufzeit|moral,0.8158730158730159,0.15796255519557786,0.0802979823749822,0.006666666666666667,0.11207835030138975
10,gastarb|verm|wohn,0.8364021164021164,0.15203549287877233,0.09150871135224949,0.0,0.09347907261114935
10,moral|verm|weitkred,0.8433862433862434,0.14957123591118057,0.10451430384203778,0.0,0.0909939194991863
10,alter|beruf|wohnzeit,0.8406349206349206,0.1501297631853917,0.08837530075813801,0.0,0.08630697569003316
10,beszeit|hoehe|laufkont,0.7790476190476191,0.19513774192710642,0.1216318289319649,0.013333333333333334,0.13524024734244866
10,buerge|sparkont|verw,0.7928042328042328,0.167516170416264,0.09339843673808643,0.0,0.12084074649363252
10,famges|hoehe|rate,0.8103703703703704,0.16084698902577355,0.04737043653065952,0.0,0.11004557284313116
10,buerge|gastarb|wohn,0.815026455026455,0.1572709217618046,0.07763018741864552,0.0,0.10498126733362198
10,gastarb|rate|sparkont,0.8008465608465609,0.16683139688369278,0.09486737362006928,0.0,0.1148918486142527
10,beruf|beszeit|moral,0.8298412698412698,0.1544390300828553,0.09616876600257156,0.0,0.09790997968078277
10,gastarb|hoehe|wohn,0.8253968253968254,0.15481626143373153,0.07667776209777183,0.006666666666666667,0.10089738090501266
10,laufkont|pers|verw,0.7627513227513227,0.19055175974663924,0.12619358589260354,0.02,0.14994119837777287
10,beruf|beszeit|bishkred,0.827936507936508,0.1532654368280092,0.08093682167180424,0.006666666666666667,0.09799877269942155
10,beszeit|famges|verw,0.7953439153439154,0.16387862312232526,0.0648013282056495,0.006666666666666667,0.11707503910254088
11,buerge|famges|pers,0.7805291005291005,0.16675854846536756,0.11070768832746603,0.013333333333333334,0.12077221622998104
11,moral|verm|verw,0.7263492063492063,0.18203666922132558,0.07702715593997327,0.013333333333333334,0.15966753548344384
11,beszeit|moral|verm,0.747936507936508,0.17530370028195913,0.09398240753617962,0.006666666666666667,0.14418188472007812
11,alter|pers|wohnzeit,0.7606349206349207,0.16815404552432203,0.07880231800952467,0.02666666666666667,0.14356886627902748
11,beruf|famges|verw,0.7549206349206349,0.1767057420619955,0.07676612293557719,0.03333333333333333,0.14434862443075974
